perm_id,modal_label,modal_fraction,stability_score,multilabel_union
399.0,Other,1.0,1.0,Other
400.0,Other,1.0,1.0,Other
401.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
402.0,Other,1.0,1.0,Other
403.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
404.0,Other,1.0,1.0,Other
405.0,Other,1.0,1.0,Other
406.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
407.0,Other,1.0,1.0,Other
408.0,Other,1.0,1.0,Other
409.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
410.0,Other,1.0,1.0,Other
411.0,Other,1.0,1.0,Other
412.0,Other,1.0,1.0,Other
413.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
414.0,Other,1.0,1.0,Other
415.0,Other,1.0,1.0,Other
416.0,Other,0.9248704663212435,0.9248704663212435,APD;Other
417.0,Other,1.0,1.0,Other
418.0,Other,1.0,1.0,Other
419.0,Other,1.0,1.0,Other
420.0,Other,1.0,1.0,Other
421.0,Other,1.0,1.0,Other
422.0,Other,1.0,1.0,Other
423.0,Other,1.0,1.0,Other
424.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
425.0,Other,1.0,1.0,Other
426.0,Other,1.0,1.0,Other
427.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
428.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
429.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
430.0,Other,1.0,1.0,Other
431.0,Other,1.0,1.0,Other
432.0,Other,1.0,1.0,Other
433.0,Other,1.0,1.0,Other
434.0,Other,1.0,1.0,Other
435.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
436.0,Other,1.0,1.0,Other
437.0,Other,1.0,1.0,Other
438.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
439.0,Other,1.0,1.0,Other
440.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
441.0,Other,1.0,1.0,Other
442.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
443.0,Other,1.0,1.0,Other
444.0,Other,1.0,1.0,Other
445.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
446.0,Other,1.0,1.0,Other
447.0,Other,1.0,1.0,Other
448.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
449.0,Other,1.0,1.0,Other
450.0,Other,1.0,1.0,Other
451.0,Other,0.8238341968911918,0.8238341968911918,APD;BRE;Other
452.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
453.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
454.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
455.0,Other,1.0,1.0,Other
456.0,Other,1.0,1.0,Other
457.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
458.0,Other,1.0,1.0,Other
459.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
460.0,Other,1.0,1.0,Other
461.0,Other,1.0,1.0,Other
462.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
463.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
464.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
465.0,Other,1.0,1.0,Other
466.0,Other,1.0,1.0,Other
467.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
468.0,Other,1.0,1.0,Other
469.0,Other,1.0,1.0,Other
470.0,Other,1.0,1.0,Other
471.0,Other,1.0,1.0,Other
472.0,Other,1.0,1.0,Other
473.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
474.0,Other,1.0,1.0,Other
475.0,Other,1.0,1.0,Other
476.0,Other,1.0,1.0,Other
477.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
478.0,Other,1.0,1.0,Other
479.0,Other,1.0,1.0,Other
480.0,Other,1.0,1.0,Other
481.0,Other,1.0,1.0,Other
482.0,Other,1.0,1.0,Other
483.0,Other,1.0,1.0,Other
484.0,Other,0.9248704663212435,0.9248704663212435,APD;Other
485.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
486.0,Other,1.0,1.0,Other
487.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
488.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
489.0,Other,1.0,1.0,Other
490.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
