perm_index,dK,disp_kappa_scaled,adjacency_violations,single_move,max_block_move,order_dual_proximity,score_dir,connective_density_per_100,pos_weighted_connectives,sent_connective_sd,max_sent_connectives,cluster,x,y,z,motif
31,0.4642857142857143,26.86841305899549,4,7,2,0.5357142857142857,0.3357817389072228,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
32,0.9642857142857144,52.28587946221842,6,7,2,0.0357142857142857,0.0289352505720321,0.0,0.0,0.0,0.0,2,-0.18428738795394936,0.11100362489345239,-1.478993595770085,GD
33,0.6785714285714286,38.03162329655012,5,6,1,0.3214285714285714,0.2031052434027165,0.0,0.0,0.0,0.0,0,-0.04075572872319191,-0.005131631743852797,-0.0030427778001185543,GD
34,0.5,27.70811609551892,3,6,2,0.5,0.3139333420092458,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
35,0.3214285714285714,20.216985822401632,3,6,2,0.6785714285714286,0.4259956764522646,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
36,0.5,27.88990348543176,4,5,1,0.5,0.3138456675773149,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
37,0.75,46.66311238141287,5,7,1,0.25,0.1583922341621146,0.0,0.0,0.0,0.0,3,0.39593244508008735,0.005140094266758148,-0.0915375782149997,GD
38,0.4285714285714285,21.679398265513225,3,6,1,0.5714285714285714,0.3604942951006504,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
39,0.4642857142857143,33.36782565849286,4,5,1,0.5357142857142857,0.3330673641754483,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
40,0.6071428571428571,38.03162329655012,4,6,2,0.3928571428571428,0.2459623862598593,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
41,0.5357142857142857,25.983617863811933,4,7,2,0.4642857142857143,0.2933952376699278,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
42,0.3214285714285714,15.390687613968876,4,4,2,0.6785714285714286,0.4315469583874627,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
43,0.2857142857142857,17.58722490899689,2,5,3,0.7142857142857143,0.4500915856663365,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
44,0.3571428571428571,18.68714602152671,3,5,2,0.6428571428571429,0.4060321113433852,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
45,0.4642857142857143,30.206163149598478,3,5,2,0.5357142857142857,0.3342465522255842,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
46,0.6071428571428571,41.31768732819266,4,6,1,0.3928571428571428,0.2451665980984152,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
47,0.5714285714285714,37.69870983044465,4,5,2,0.4285714285714285,0.267479119042868,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
